Date,Index
2016-06-02,575.0
2016-06-01,578.0
2016-05-31,580.0
2016-05-27,579.0
2016-05-26,575.0
2016-05-25,571.0
2016-05-24,568.0
2016-05-23,565.0
2016-05-20,562.0
2016-05-19,558.0
2016-05-18,553.0
2016-05-17,552.0
2016-05-16,552.0
2016-05-13,553.0
2016-05-12,555.0
2016-05-11,560.0
2016-05-10,567.0
2016-05-09,575.0
2016-05-06,578.0
2016-05-05,582.0
2016-05-04,583.0
2016-05-03,583.0
2016-04-29,582.0
2016-04-28,578.0
2016-04-27,573.0
2016-04-26,564.0
2016-04-25,562.0
2016-04-22,558.0
2016-04-21,551.0
2016-04-20,543.0
2016-04-19,534.0
2016-04-18,529.0
2016-04-15,525.0
2016-04-14,514.0
2016-04-13,506.0
2016-04-12,498.0
2016-04-11,492.0
2016-04-08,488.0
2016-04-07,485.0
2016-04-06,482.0
2016-04-05,479.0
2016-04-04,479.0
2016-04-01,476.0
2016-03-31,476.0
2016-03-30,475.0
2016-03-29,474.0
2016-03-24,473.0
2016-03-23,468.0
2016-03-22,464.0
2016-03-21,460.0
2016-03-18,449.0
2016-03-17,445.0
2016-03-16,439.0
2016-03-15,432.0
2016-03-14,427.0
2016-03-11,420.0
2016-03-10,412.0
2016-03-09,399.0
2016-03-08,386.0
2016-03-07,377.0
2016-03-04,371.0
2016-03-03,363.0
2016-03-02,350.0
2016-03-01,345.0
2016-02-29,339.0
2016-02-26,333.0
2016-02-25,328.0
2016-02-24,321.0
2016-02-23,310.0
2016-02-22,298.0
2016-02-19,286.0
2016-02-18,270.0
2016-02-17,259.0
2016-02-16,252.0
2016-02-15,247.0
2016-02-12,243.0
2016-02-11,244.0
2016-02-10,247.0
2016-02-09,250.0
2016-02-08,255.0
2016-02-05,262.0
2016-02-04,271.0
2016-02-03,280.0
2016-02-02,289.0
2016-02-01,299.0
2016-01-29,304.0
2016-01-28,316.0
2016-01-27,327.0
2016-01-26,338.0
2016-01-25,350.0
2016-01-22,358.0
2016-01-21,366.0
2016-01-20,372.0
2016-01-19,381.0
2016-01-18,388.0
2016-01-15,394.0
2016-01-14,402.0
2016-01-13,412.0
2016-01-12,416.0
2016-01-11,422.0
2016-01-08,430.0
2016-01-07,436.0
2016-01-06,442.0
2016-01-05,445.0
2016-01-04,449.0
2015-12-24,450.0
2015-12-23,450.0
2015-12-22,449.0
2015-12-21,449.0
2015-12-18,449.0
2015-12-17,448.0
2015-12-16,448.0
2015-12-15,449.0
2015-12-14,450.0
2015-12-11,451.0
2015-12-10,455.0
2015-12-09,460.0
2015-12-08,461.0
2015-12-07,465.0
2015-12-04,469.0
2015-12-03,470.0
2015-12-02,472.0
2015-12-01,471.0
2015-11-30,469.0
2015-11-27,467.0
2015-11-26,467.0
2015-11-25,467.0
2015-11-24,467.0
2015-11-23,469.0
2015-11-20,472.0
2015-11-19,479.0
2015-11-18,491.0
2015-11-17,504.0
2015-11-16,516.0
2015-11-13,523.0
2015-11-12,533.0
2015-11-11,543.0
2015-11-10,554.0
2015-11-09,562.0
2015-11-06,571.0
2015-11-05,584.0
2015-11-04,596.0
2015-11-03,609.0
2015-11-02,620.0
2015-10-30,629.0
2015-10-29,633.0
2015-10-28,643.0
2015-10-27,645.0
2015-10-26,646.0
2015-10-23,648.0
2015-10-22,649.0
2015-10-21,652.0
2015-10-20,654.0
2015-10-19,656.0
2015-10-16,658.0
2015-10-15,661.0
2015-10-14,662.0
2015-10-13,664.0
2015-10-12,666.0
2015-10-09,669.0
2015-10-08,672.0
2015-10-07,676.0
2015-10-06,681.0
2015-10-05,688.0
2015-10-02,691.0
2015-10-01,695.0
2015-09-30,703.0
2015-09-29,713.0
2015-09-28,724.0
2015-09-25,733.0
2015-09-24,738.0
2015-09-23,742.0
2015-09-22,749.0
2015-09-21,757.0
2015-09-18,762.0
2015-09-17,772.0
2015-09-16,783.0
2015-09-15,789.0
2015-09-14,799.0
2015-09-11,810.0
2015-09-10,824.0
2015-09-09,838.0
2015-09-08,848.0
2015-09-07,857.0
2015-09-04,870.0
2015-09-03,882.0
2015-09-02,896.0
2015-09-01,912.0
2015-08-28,925.0
2015-08-27,931.0
2015-08-26,933.0
2015-08-25,934.0
2015-08-24,933.0
2015-08-21,930.0
2015-08-20,924.0
2015-08-19,920.0
2015-08-18,915.0
2015-08-17,908.0
2015-08-14,905.0
2015-08-13,901.0
2015-08-12,899.0
2015-08-11,900.0
2015-08-10,901.0
2015-08-07,904.0
2015-08-06,904.0
2015-08-05,901.0
2015-08-04,899.0
2015-08-03,900.0
2015-07-31,899.0
2015-07-30,892.0
2015-07-29,898.0
2015-07-28,903.0
2015-07-27,903.0
2015-07-24,899.0
2015-07-23,896.0
2015-07-22,889.0
2015-07-21,875.0
2015-07-20,862.0
2015-07-17,846.0
2015-07-16,823.0
2015-07-15,801.0
2015-07-14,784.0
2015-07-13,774.0
2015-07-10,767.0
2015-07-09,759.0
2015-07-08,750.0
2015-07-07,742.0
2015-07-06,723.0
2015-07-03,716.0
2015-07-02,712.0
2015-07-01,713.0
2015-06-30,715.0
2015-06-29,722.0
2015-06-26,723.0
2015-06-25,723.0
2015-06-24,723.0
2015-06-23,721.0
2015-06-22,722.0
2015-06-19,721.0
2015-06-18,715.0
2015-06-17,706.0
2015-06-16,695.0
2015-06-15,685.0
2015-06-12,678.0
2015-06-11,669.0
2015-06-10,661.0
2015-06-09,654.0
2015-06-08,655.0
2015-06-05,656.0
2015-06-04,654.0
2015-06-03,654.0
2015-06-02,653.0
2015-06-01,652.0
2015-05-29,647.0
2015-05-28,642.0
2015-05-27,635.0
2015-05-26,631.0
2015-05-22,627.0
2015-05-21,624.0
2015-05-20,623.0
2015-05-19,625.0
2015-05-18,626.0
2015-05-15,628.0
2015-05-14,626.0
2015-05-13,624.0
2015-05-12,619.0
2015-05-11,617.0
2015-05-08,618.0
2015-05-07,618.0
2015-05-06,618.0
2015-05-05,618.0
2015-05-01,621.0
2015-04-30,625.0
2015-04-29,627.0
2015-04-28,628.0
2015-04-27,626.0
2015-04-24,624.0
2015-04-23,621.0
2015-04-22,620.0
2015-04-21,619.0
2015-04-20,618.0
2015-04-17,619.0
2015-04-16,612.0
2015-04-15,608.0
2015-04-14,608.0
2015-04-13,609.0
2015-04-10,613.0
2015-04-09,617.0
2015-04-08,624.0
2015-04-07,631.0
2015-04-02,636.0
2015-04-01,646.0
2015-03-31,650.0
2015-03-30,649.0
2015-03-27,647.0
2015-03-26,648.0
2015-03-25,648.0
2015-03-24,645.0
2015-03-23,640.0
2015-03-20,635.0
2015-03-19,627.0
2015-03-18,623.0
2015-03-17,616.0
2015-03-16,611.0
