Date,"Largest 4 Longs, Gross","Largest 4 Shorts, Gross","Largest 8 Longs, Gross","Largest 8 Shorts, Gross","Largest 4 Longs, Net","Largest 4 Shorts, Net","Largest 8 Longs, Net","Largest 8 Shorts, Net"
2008-07-22,56.3,41.5,75.3,67.6,52.1,38.9,63.9,57.4
2008-07-15,58.6,44.9,75.9,71.8,54.5,41.9,63.9,61.1
2008-07-08,60.0,46.0,77.8,72.6,55.7,42.6,65.6,62.1
2008-07-01,58.9,43.2,76.1,68.0,55.0,40.2,65.7,57.9
2008-06-24,58.9,42.9,76.1,67.0,55.0,39.9,65.1,56.9
2008-06-17,59.7,45.9,75.9,68.2,55.6,42.8,64.2,58.0
2008-06-10,57.2,46.1,74.0,68.4,53.0,42.8,61.8,57.1
2008-06-03,56.3,48.0,73.5,69.4,52.0,44.7,61.0,56.8
2008-05-27,55.7,46.6,73.4,66.4,50.1,43.4,58.9,56.5
2008-05-20,56.7,46.6,74.9,66.4,51.1,43.1,59.5,56.2
2008-05-13,54.6,47.8,73.6,67.9,48.8,44.2,57.4,55.9
2008-05-06,55.5,49.5,74.5,71.1,49.1,45.7,58.4,58.1
2008-04-29,52.3,45.3,73.0,68.6,46.0,40.9,57.4,56.2
2008-04-22,52.5,45.4,73.2,68.8,46.2,41.0,57.9,56.4
2008-04-15,52.5,46.7,73.5,69.7,46.1,42.2,58.0,56.5
2008-04-08,54.9,47.8,76.1,69.8,48.5,43.7,60.4,56.8
2008-04-01,50.7,44.6,72.1,66.0,44.6,40.3,57.3,56.2
2008-03-25,51.5,44.2,73.4,66.0,43.9,40.0,56.2,55.8
2008-03-18,52.5,45.3,74.2,67.0,44.2,41.6,57.0,57.2
2008-03-11,56.0,47.4,74.8,66.9,42.9,43.5,54.7,56.0
2008-03-04,57.8,47.5,78.3,67.1,43.1,43.6,57.9,56.5
2008-02-26,51.4,45.6,74.4,63.7,40.7,39.6,54.5,51.5
2008-02-19,49.2,45.9,71.7,63.5,40.9,39.3,54.3,51.3
2008-02-12,49.0,45.7,71.0,63.2,40.7,38.3,53.2,50.3
2008-02-05,51.5,47.9,71.0,64.6,42.5,40.2,53.5,51.8
2008-01-29,49.1,45.0,74.0,64.0,42.3,36.3,54.9,49.6
2008-01-22,52.3,49.0,77.9,65.3,46.6,37.0,54.2,50.2
2008-01-15,52.7,48.8,79.3,67.3,47.0,37.9,55.9,52.8
2008-01-08,54.9,50.4,82.7,70.1,48.7,39.7,57.9,55.1
2007-12-31,51.3,46.5,78.8,66.1,45.0,34.6,57.0,48.8
2007-12-24,51.4,46.4,79.0,66.0,45.1,34.7,56.9,48.9
2007-12-18,51.7,46.6,79.5,66.4,45.3,34.9,57.2,49.2
2007-12-11,52.8,47.8,80.1,68.1,46.2,35.8,56.7,48.6
2007-12-04,52.2,47.5,79.0,68.1,46.0,35.8,57.1,49.4
2007-11-27,50.0,43.4,74.9,62.3,43.6,32.4,52.8,46.4
2007-11-20,47.6,43.4,72.8,62.7,41.6,32.8,50.8,47.4
2007-11-13,49.3,43.5,71.9,62.9,44.9,35.9,54.5,51.8
2007-11-06,50.6,44.5,69.4,64.4,47.7,36.8,58.7,53.7
2007-10-30,40.1,39.0,62.3,62.8,35.8,35.3,49.1,52.0
2007-10-23,40.5,39.9,63.4,64.3,36.3,36.2,51.8,53.7
2007-10-16,40.8,39.8,63.8,65.4,36.8,36.1,51.9,53.6
2007-10-09,41.8,41.4,65.2,65.9,37.8,36.1,51.2,52.7
2007-10-02,45.3,43.8,69.3,67.8,41.5,38.2,55.4,54.8
2007-09-25,53.5,49.3,73.2,69.7,48.2,43.8,59.1,59.3
2007-09-18,54.8,50.1,74.8,69.5,50.4,44.4,61.0,58.9
2007-09-11,57.0,52.0,75.1,70.8,52.4,46.2,61.5,59.2
2007-09-04,55.3,50.0,73.4,68.5,50.0,44.1,60.7,58.6
2007-08-28,56.5,49.6,73.4,63.3,51.2,40.8,61.2,53.4
2007-08-21,55.9,49.4,72.9,62.7,51.4,40.8,62.0,53.0
2007-08-14,55.9,49.3,73.9,63.3,52.3,40.4,63.8,52.5
2007-08-07,57.0,49.1,74.8,63.7,52.9,40.1,63.8,51.5
2007-07-31,57.3,49.7,73.9,63.6,54.1,40.0,63.6,51.0
2007-07-24,59.0,46.1,74.7,62.9,56.1,37.3,64.1,48.4
2007-07-17,61.0,51.0,76.0,67.1,57.9,44.4,67.9,54.4
2007-07-10,61.1,51.1,76.7,67.6,58.0,44.9,67.8,54.4
2007-07-03,61.1,51.1,77.5,67.6,58.0,45.3,68.7,54.6
2007-06-26,55.3,50.8,74.4,65.9,45.5,44.0,55.8,51.0
2007-06-19,55.6,51.4,75.2,66.8,46.2,44.4,56.4,51.0
2007-06-12,54.7,53.3,75.5,68.6,44.8,44.6,55.3,49.9
2007-06-05,54.8,56.0,75.4,70.5,43.8,43.3,52.9,47.5
2007-05-29,57.3,55.5,76.4,70.3,49.1,45.6,56.8,50.3
2007-05-22,57.8,57.9,76.2,73.0,50.1,47.6,57.1,51.4
2007-05-15,55.8,59.2,75.0,73.7,47.6,47.0,54.9,51.7
2007-05-08,56.3,57.3,74.3,72.2,51.1,47.0,57.5,52.0
2007-05-01,59.1,60.0,76.3,74.8,53.7,49.6,61.2,53.9
2007-04-24,60.4,61.6,76.9,76.5,54.9,53.5,63.9,58.7
2007-04-17,60.6,62.5,77.3,75.0,58.2,56.1,66.7,60.4
2007-04-10,61.7,66.4,77.4,75.9,60.6,60.0,69.4,64.0
2007-04-03,63.3,67.4,78.5,76.5,62.0,60.5,71.2,64.7
2007-03-27,60.2,63.1,74.3,73.7,58.0,55.5,65.8,59.7
2007-03-20,60.8,64.3,75.2,74.1,59.4,57.3,67.7,62.1
2007-03-13,60.7,64.3,74.2,74.1,59.4,57.3,67.0,62.1
2007-03-06,60.4,64.8,73.8,74.6,59.8,57.7,66.5,62.5
2007-02-27,57.0,58.9,70.6,69.8,55.7,52.0,63.0,59.2
2007-02-20,58.2,59.3,71.7,71.0,57.4,53.1,64.6,60.9
2007-02-13,58.7,59.1,72.3,70.9,57.8,53.0,64.9,60.8
2007-02-06,59.2,60.1,72.9,71.8,58.7,53.9,65.7,61.7
2007-01-30,55.8,58.0,71.4,69.1,55.5,52.4,65.3,60.4
2007-01-23,57.1,65.4,72.6,76.3,56.6,61.1,65.7,69.2
2007-01-16,59.7,67.4,75.2,77.4,58.7,62.8,68.0,70.7
2007-01-09,60.8,65.7,73.8,76.4,59.8,60.7,66.5,68.7
2007-01-03,37.2,41.2,59.2,59.4,32.1,29.0,42.9,42.9
2006-12-26,39.6,41.7,61.6,58.8,33.7,30.8,46.4,43.4
2006-12-19,39.7,42.8,62.3,60.3,33.7,31.7,46.7,44.5
2006-12-12,40.4,42.5,63.3,60.5,34.4,31.4,47.0,44.5
2006-12-05,41.5,38.0,64.7,57.2,35.2,30.0,48.3,41.6
2006-11-28,44.1,35.6,65.3,54.4,36.4,28.9,49.1,41.8
2006-11-21,43.3,35.4,64.5,54.8,34.8,28.8,44.9,41.0
2006-11-14,43.1,38.6,65.0,58.6,34.6,30.7,44.1,44.1
2006-11-07,43.7,39.1,66.4,60.0,35.2,31.8,44.8,44.1
2006-10-31,38.3,36.9,58.9,57.5,25.9,29.3,35.6,39.5
2006-10-24,38.2,37.4,58.8,57.2,26.9,31.2,36.2,42.0
2006-10-17,37.9,39.3,58.9,59.5,26.4,34.1,35.6,42.6
2006-10-10,35.5,41.1,58.6,61.2,24.6,35.1,35.3,43.7
2006-10-03,41.3,52.5,66.6,70.2,31.8,43.3,44.0,54.0
2006-09-26,41.2,46.8,62.8,65.0,34.7,41.5,45.8,53.5
2006-09-19,45.8,49.3,67.7,67.3,38.4,45.8,51.7,61.0
2006-09-12,45.7,46.7,68.6,66.8,39.1,43.6,49.7,59.0
2006-09-05,48.2,48.8,70.6,68.0,40.2,45.4,51.6,58.7
2006-08-29,49.2,49.2,69.3,66.5,41.1,40.7,52.2,53.2
2006-08-22,50.4,50.5,70.4,66.9,43.4,41.8,55.1,54.6
2006-08-15,51.0,48.8,69.7,65.2,44.0,42.0,54.6,53.7
2006-08-08,52.2,50.5,70.0,68.9,45.6,43.5,56.9,55.2
2006-08-01,51.7,52.0,69.2,68.8,44.9,44.8,55.3,53.1
2006-07-25,53.9,56.5,74.3,73.3,48.7,48.3,58.2,59.2
2006-07-18,54.0,57.9,72.9,74.8,49.0,50.0,56.8,61.3
2006-07-11,54.4,58.4,73.5,75.0,49.5,50.4,56.9,61.8
2006-07-03,54.3,57.8,70.6,74.7,49.9,55.0,59.6,66.7
2006-06-27,55.4,58.1,70.5,75.6,50.9,54.4,60.7,66.1
2006-06-20,59.3,59.0,72.7,74.9,52.9,56.1,62.9,68.3
2006-06-13,59.0,62.0,73.1,78.5,52.3,58.9,62.8,70.8
2006-06-06,61.3,63.5,75.3,80.3,54.5,60.3,64.7,72.4
2006-05-30,56.0,54.2,73.6,70.8,46.3,48.4,57.0,60.3
2006-05-23,57.3,55.1,75.5,71.5,48.5,48.2,60.4,60.5
2006-05-16,59.8,55.1,78.0,71.5,51.0,48.2,62.9,60.5
2006-05-09,61.4,55.4,79.7,71.9,52.5,48.5,64.5,60.2
2006-05-02,63.4,55.9,81.6,72.7,56.0,50.1,66.7,62.3
2006-04-25,64.7,47.5,82.6,67.6,57.4,39.7,66.9,58.0
2006-04-18,64.7,46.0,82.6,68.5,57.4,40.1,66.9,58.9
2006-04-11,63.8,43.8,81.7,66.8,55.5,36.0,65.3,54.4
2006-04-04,64.5,49.4,83.0,67.9,59.0,39.7,66.2,54.8
2006-03-28,59.8,47.6,76.1,66.7,56.3,41.2,65.8,57.1
2006-03-21,60.4,45.4,78.5,63.7,57.6,39.2,66.6,53.6
2006-03-14,62.6,52.6,80.1,70.2,58.6,44.5,69.1,58.4
2006-03-07,61.8,50.3,80.1,70.3,57.7,41.9,67.5,56.4
2006-02-28,56.5,40.3,75.3,61.7,51.1,36.4,63.2,50.1
2006-02-21,59.3,40.8,77.3,62.0,56.8,36.9,68.3,51.7
2006-02-14,60.6,42.1,79.2,63.8,58.0,38.0,68.9,53.2
2006-02-07,60.9,50.9,80.5,71.5,59.7,44.7,70.4,57.5
2006-01-31,55.6,43.7,77.2,65.5,51.3,39.2,61.1,52.1
2006-01-24,57.1,44.9,79.3,67.3,52.7,40.3,62.2,52.8
2006-01-17,58.2,44.5,78.7,66.6,50.8,41.2,64.0,53.4
2006-01-10,57.3,51.8,78.6,69.8,50.4,44.9,59.4,53.1
2005-12-27,58.4,54.1,81.1,71.7,48.9,43.1,60.7,48.9
2005-12-20,63.2,54.1,82.2,71.7,48.9,43.1,60.7,48.9
2005-12-13,58.9,51.7,79.5,71.4,42.5,39.7,57.9,45.2
2005-11-29,61.4,52.9,81.4,65.8,53.1,43.4,65.5,48.6
