Date,Open,High,Low,Close,Adj Close,Volume
2013-04-01,63.128571,63.38571500000001,61.105713,61.27285799999999,46.031269,97433000
2013-04-02,61.085712,62.591427,60.914288,61.398571,46.125721,132379800
2013-04-03,61.624287,62.468571,61.472858,61.712856,46.361824,90804000
2013-04-04,61.965714,62.14285699999999,60.75,61.102856,45.903553,89611900
2013-04-05,60.64285699999999,60.70714200000001,59.954285,60.45714200000001,45.418461,95923800
2013-04-08,60.692856000000006,61.07143000000001,60.355713,60.887142,45.741497,75207300
2013-04-09,60.908573,61.214287,60.39285699999999,60.99714300000001,45.824131,76653500
2013-04-10,61.15714300000001,62.437141,60.85856999999999,62.241428000000006,46.758911,93982000
2013-04-11,61.959999,62.57,61.599998,62.047142,46.61295300000001,82091100
2013-04-12,62.021427,62.021427,61.298573,61.400002,46.126785,59653300
2013-04-15,61.0,61.127144,59.935715,59.978573,45.058929,79380000
2013-04-16,60.224285,60.944286,60.08142900000001,60.89143000000001,45.744724,76442800
2013-04-17,60.03856999999999,60.085712,56.87285600000001,57.542858,43.229095,236264000
2013-04-18,57.855713,57.970001,55.67714300000001,56.007141,42.07539000000001,166574800
2013-04-19,55.424286,57.085712,55.014286,55.790001,41.912258,152318600
2013-04-22,56.091427,57.45714200000001,55.895714,56.952858,42.785866,107480100
2013-04-23,57.712856,58.34,56.972858,58.01857,43.586479,166059600
2013-04-24,56.220001,59.32143000000001,56.07143000000001,57.92285500000001,43.51458,242412800
2013-04-25,58.74714300000001,59.134285,58.14285699999999,58.34,43.827953,96209400
2013-04-26,58.544285,59.824287,58.32143000000001,59.599998,44.774536,191024400
2013-04-29,60.064285,61.945713,60.0,61.445713,46.161133,160081600
2013-04-30,62.15714300000001,63.60714300000001,61.724285,63.254284,47.519821,172884600
2013-05-01,63.494286,63.561428,62.055714,62.75571400000001,47.14526,126727300
2013-05-02,63.111427,64.084282,62.947144,63.645714,47.813885,105457100
2013-05-03,64.47285500000001,64.747147,64.164284,64.28286,48.292534,90325200
2013-05-06,65.101425,66.028572,64.90142800000001,65.815712,49.444084,124160400
2013-05-07,66.424286,66.535713,64.814285,65.522858,49.224083,120938300
2013-05-08,65.577141,66.48143,65.11571500000001,66.262856,49.780014,118149500
2013-05-09,65.687141,66.14286,65.08285500000001,65.252853,51.386501,99621900
2013-05-10,65.424286,65.672859,64.354286,64.709999,50.959003,83713000
